lastName,name,declarationDate,job,ministry,declarationObject
AARAB,Mohamed Lehabib,26-févr.-1993,DIRECTEUR DU SERVICE DES APPROVISIONNEMENTS,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
AARFA,Mohamed Bechir,18-juin-1987,PROCUREUR GENERAL,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
AARIF,Hamed,6-juil.-1987,SECRETAIRE GENERAL,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
AATIRI,Mohamed Taher,7-juil.-1987,DIRECTEUR,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
AAYACHI,Mohamed,19-janv.-1988,INGENIEUR  ADJOINT,MINISTERE DE L'EQUIPEMENT ET DE L'HABITAT,PREMIERE DECLARATION
AAYED,Mohamed Hedi,13-juil.-1987,DIRECTEUR FINANCIER,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
ABAAB,Amor,2-janv.-2006,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
ABAAB,Amor,12-avr.-2000,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
ABAAB,Amor,6-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
ABAAB,Amor,9-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
ABAAB,Abdallah,19-oct.-1987,PRESIDENT  DE COMMUNE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABAAB,Rafik,5-juil.-1999,INSPECTEUR,MINISTERE DES FINANCES,PREMIERE DECLARATION
ABAAB,MOHAMED,2-avr.-2004,DIRECTEUR,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,PREMIERE DECLARATION
ABAAB,FADHILA,7-mars-2012,DIRECTEUR,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABALA,Hamda,17-juin-1999,CONTROLEUR DES SERVICES FINANCIERS,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
ABALA,Hamda,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABASSI,Abdessalem,9-juil.-1987,COMMANDANT DE CENTRE,MINISTERE DE LA DEFENSE NATIONALE,PREMIERE DECLARATION
ABASSI,Mohamed Rafik,9-juil.-1987,AUXILAIRE,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABASSI,Mohamed Hedi,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABASSI,Ali,14-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABASSI,Bechir,28-oct.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABASSI,Abdallah,8-avr.-2000,MAGISTRAT,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
ABASSI,Abdallah,12-juin-1993,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABASSI,KHALED,22-déc.-2007,DIRECTEUR,MINISTERE DE LA JEUNESSE DES SPORTS,PREMIERE DECLARATION
ABASSI,INES,6-févr.-2012,INSPECTEUR DES SERVICES FINANCIERS,MINISTERE DES FINANCES,PREMIERE DECLARATION
ABASSI,ABDERRAHMEN,4-janv.-2013,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
ABASSI,BALIGH,20-déc.-2013,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
ABAYED,Habib,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
ABAZA,Mohamed,4-mai-1993,DIRECTEUR DES SERVICES ADMINISTRATIFS,MINISTERE DES FINANCES,PREMIERE DECLARATION
ABBAKI,Dalal,8-juil.-1987,CONTROLEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
