lastName,name,declarationDate,job,ministry,declarationObject
BOUSMIDA,Mohamed Abderahmen,9-juil.-1987,ADJOINT TECHNIQUE,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUSMINA,Abdelmajid,9-juil.-1987,INSPECTEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUSNINA,Mohamed Kamel,1-mars-1993,EX-RESPENSABLE,MINISTERE DES COMMUNICATIONS,RENOUVELLEMENT -5 ANS-
BOUSNINA,Mohamed Kamel,25-juin-1987,DIRECTEUR REGIONAL,MINISTERE DES COMMUNICATIONS,PREMIERE DECLARATION
BOUSNINA,Mohamed Taieb,6-juil.-1987,CHEF DE SERVICE,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUSNINA,Mongi,21-sept.-1999,AMBASSADEUR,MINISTERE DES AFFAIRES ETRANGERES,RENOUVELLEMENT -5 ANS-
BOUSNINA,Mongi,5-août-1995,EX MINISTRE DE LA CULTURE AMBASSADEUR A RABAT,MINISTERE DE LA CULTURE,CHANGEMENT DE FONCTION 
BOUSNINA,Mongi,11-avr.-1990,SECRETAIRE D'ETAT CHARGE DE L'EDUCATION,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",CHANGEMENT DE FONCTION 
BOUSNINA,Mongi,9-juil.-1987,CHEF DE CABINET ET PRESIDENT DE COMMUE,MINISTERE DE L'INFORMATION,PREMIERE DECLARATION
BOUSNINA,Feiza,9-juil.-1987,CONTROLEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUSNINA,Mohamed,9-juil.-1987,CONTROLEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUSNINA,Lilia,16-juil.-1987,SOUS - DIRECTEUR,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUSNINA,Kacem,20-juil.-1987,AMBASSADEUR,MINISTERE DES AFFAIRES ETRANGERES,PREMIERE DECLARATION
BOUSNINA,Khelil,13-avr.-1993,DIRECTEUR  DES ETUDES,MINISTERE DE L'ECONOMIE NATIONALE,PREMIERE DECLARATION
BOUSNINA,Miloud,30-janv.-2001,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUSNINA,Miloud,4-avr.-1998,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUSNINA,MONDHER,21-sept.-2016,CHEF DE CABINET DU MINISTRE,PRESIDENCE DU GOUVERNEMENT,PREMIERE DECLARATION
BOUSRIH,Samia,8-juil.-1987,AGENT DE CONSTATATION,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUSRIH,Ali,11-mars-1988,DIRECTEUR GENERAL,MINISTERE DE LA PRODUCTION AGRICOLE ET DES INDUSTRIES AGRO-ALIMENTAIRES,PREMIERE DECLARATION
BOUSRIH,Bechir,24-juin-1999,DIRECTEUR,MINISTERE DE L'INDUSTRIE,RENOUVELLEMENT -5 ANS-
BOUSRIH,Bechir,14-avr.-1993,DIRECTEUR ADJOINT ADMINISTRATIF ET FINANCIER,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
BOUSSAA,Maatallah,22-mai-1999,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUSSAA,Maatallah,17-oct.-1998,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUSSAA,Maatallah,18-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
BOUSSAFFARA,Hassen,29-nov.-1993,EX-INSPECTEUR GENERAL,MINISTERE DE L'INTERIEUR,CHANGEMENT DE FONCTION 
BOUSSAFFARA,Hassen,8-juil.-1987,INSPECTEUR GENERAL,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUSSAHAFI,MED ALI,8-avr.-2013,CONTROLEUR DE DIAGNOSTIC TECHNIQUE,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
BOUSSAMA,Kamel,28-juin-1990,CONTROLEUR DU TRANSPORT ROUTIER,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
BOUSSANDEL,HSSINE,13-juil.-2015,MAGISTRAT,PRESIDENCE DU GOUVERNEMENT,PREMIERE DECLARATION
BOUSSELEM,Nouredine,27-juin-2005,PRESIDENT DIRECTEUR GENERAL,MINISTERE DE L'AGRICULTURE ET DES RESSOURCES HYDRAULIQUES,CHANGEMENT DE FONCTION 
BOUSSELEM,Nouredine,7-sept.-1999,DIRECTEUR GENERAL,MINISTERE DE L'AGRICULTURE,PREMIERE DECLARATION
BOUSSENA,Mohamed,31-mars-2000,MAGISTRAT,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
BOUSSENA,Mohamed,10-nov.-1994,MAGISTRAT,MINISTERE DE LA JUSTICE,CHANGEMENT D'ADMINISTRATION
BOUSSENA,Mohamed,26-mai-1993,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUSSERA,CHARFEDINE,13-mars-2004,DIRECTEUR,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,PREMIERE DECLARATION
BOUSSETA,FATEN,25-sept.-2007,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUSSETTA,Mesbah,26-août-2000,CHEF D'ARENDISSEMENT,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUSSETTA,RAIDH,24-sept.-2010,DIRECTEUR,PRESIDENCE DU GOUVERNEMENT,PREMIERE DECLARATION
BOUSSETTA,MOHAMED,31-mai-2011,PRESIDENT DIRECTEUR GENERAL,MINISTERE DU TRANSPORT ET DE L'EQUIPEMENT,PREMIERE DECLARATION
BOUSSIF,Fathi,2-nov.-1995,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUSSLIMI,Khlifa,10-avr.-2000,AGENT,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUSSLIMI,Faycel,10-avr.-2000,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUSSOFARA,Mohamed Neji,9-juil.-1987,DIRECTEUR GENERAL  ADJOINT,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUSSOFARA,Ahmed,2-juin-2007,RECEVEUR,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
BOUSSOFARA,Ahmed,13-janv.-2000,RECEVEUR MUNICIPAL,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUSSRIH,Chokri,9-mai-2000,DIRECTEUR,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUTABBA,Hedi,8-avr.-2000,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUTABBA,Hedi,13-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
BOUTABBA, TAREK,9-mars-2012,COMPTABLE,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUTABBA,ABBES,20-févr.-2012,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUTABLA,Mohamed Touhami,8-mai-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
BOUTABLA,Mohamed Touhami,13-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
BOUTABLA,Mohamed Touhami,9-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
BOUTEFAHA,Ali,9-juil.-1987,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUTELA,Mohamed,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUTERAA,Mohamed,3-juil.-1987,OFFICIER DE LA GARDE NATIONALE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUTERAA,Abdelouaheb,10-juil.-1987,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUTERAA,Abdessalem,15-avr.-1988,BRUGADIER,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUTERAA,Ridha,13-déc.-2010,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUTERAA,Ridha,15-mai-1999,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUTERAA,EL AID,2-juin-2007,RECEVEUR,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUTERAA,MOHAMED HEDI,25-janv.-2010,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUTHALJA,Mohamed,11-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
BOUTHRIOUA,ISMAHENE,20-déc.-2013,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUTIBA,Hayet,9-juil.-1987,DIRECTRICE,MINISTERE DE L'ECONOMIE NATIONALE,PREMIERE DECLARATION
BOUTITI,Mohamed,13-mars-2004,DIRECTEUR,MINISTERE DE L'AGRICULTURE DE L'ENVIRONNEMENT ET DES RESSOURCES HYDRAULIQUES,RENOUVELLEMENT -5 ANS-
BOUTITI,Mohamed,3-mai-1999,DIRECTEUR,MINISTERE DE L'AGRICULTURE,PREMIERE DECLARATION
BOUTITI,MOUNA,14-févr.-2012,INSPECTEUR EN CHEF,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUTITI,HELA,5-avr.-2012,INCONNUE,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUTOURE,Mohamed Laroussi,24-juin-1987,CHEF DE SECTION,"MINISTERE DE L'EQUIPEMENT, DE L'HABITAT ET DU TRANSPORT",PREMIERE DECLARATION
BOUYAHIA,Hassen,9-juil.-1987,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUZAABIA,SALMA,27-févr.-2012,INSPECTEUR,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZABIA,Mohamed Monsef,5-janv.-1987,CHEF D'AGENCE,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZAEINE,Ameur,14-juin-2004,COMPTABLE PUBLIC,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
BOUZAEINE,Ameur,14-janv.-1999,COMPTABLE PUBLIC,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUZAEINE,Abdessatar,6-août-1999,CHEF D'AGENCE,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZAEINE,Mohamed mnaouer,4-oct.-1999,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUZAGHAYA,MOHAMED RIDHA,25-mars-2004,DIRECTEUR,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUZAGHBA,Ali,1-juin-1999,DELEGUE,MINISTERE DE L'INTERIEUR,RENOUVELLEMENT -5 ANS-
BOUZAGHBA,Ali,1-avr.-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
BOUZAGHBA,Ali,6-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
BOUZAGHROU,Hachmi,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZAIED,Mohamed Farouk,28-juil.-1987,AGENT DE CONSTATATION,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZAIEDA,Ridha,13-janv.-2000,RECEVEUR DES FINANCES,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
BOUZAIEDA,Ridha,27-juil.-1987,RECEVEUR DES FINANCES,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZAIEN,Tarek,3-juil.-1987,SOUS-CHEF DE SERVICE,MINISTERE DES AFFAIRES SOCIALES,PREMIERE DECLARATION
BOUZAIEN,Mouldi,16-juil.-1987,COMPTABLE PUBLIC,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZAIEN,Mohamed Mongi,22-août-2005,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUZAIEN,Mohamed Mongi,28-mars-2000,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUZAIEN,Mohamed Mongi,12-mars-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
BOUZAIEN,Mohamed Mongi,25-oct.-1988,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
BOUZAIENE,Bechir,28-juil.-1987,CONTROLEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZAIN,FAKHRI,28-mars-2012,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUZAINE,RACHID,2-mars-2012,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUZAINE,RACHID,2-mars-2012,DELEGUE DES AFFAIRES ECONOMIQUES,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUZAIRA,Hammadi,2-juin-2007,RECEVEUR,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
BOUZAIRA,Hammadi,15-avr.-1997,COMPTABLE PUBLIC,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUZAKHER,YOUSSEF,30-déc.-2016,MEMBRE,CONSEIL SUPERIEUR DE LA MAGISTRATURE,PREMIERE DECLARATION
BOUZAOUEDA,RIDHA,20-juil.-2015,DIRECTEUR GENERAL,"MINISTERE DE L'INDUSTRIE, DE L'ENERGIE ET DES MINES",RENOUVELLEMENT -5 ANS-
BOUZAOUEDA,RIDHA,24-janv.-2012,DIRECTEUR,"MINISTERE DE L'INDUSTRIE, DE L'ENERGIE ET DES MINES",PREMIERE DECLARATION
BOUZARRAA,Mohamed Hedi,9-juil.-1987,VICE PRESIDENT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUZAYANI,MOHAMED TAOUFIK,17-avr.-2012,DIRECTEUR,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
BOUZAYEDI,Mohamed Habib,9-juil.-1987,CHEF DE BRIGADE,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZAYEN,Sassi,9-juil.-1987,DIRECTEUR TECHNIQUE,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUZAYEN,Sadok,14-sept.-1988,AMBASSADEUR DIRECTEUR,MINISTERE DES AFFAIRES ETRANGERES,PREMIERE DECLARATION
BOUZAYEN,Kamel Mohamed,16-avr.-1993,DIRECTEUR,MINISTERE DE L'ECONOMIE NATIONALE,PREMIERE DECLARATION
BOUZAYEN,Lotfi,29-déc.-1994,DIRECTEUR,MINISTERE DU DEVELOPPEMENT REGIONAL ET DU PLAN,PREMIERE DECLARATION
BOUZAYENE,Ahmed El Hedi,14-juil.-1992,PROCUREUR GENERAL,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
BOUZAYENE,Ahmed El Hedi,17-juin-1987,PRESIDENT DE CHAMBRE,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUZAYENE,Slaheddine,14-nov.-2013,PRESIDENT DIRECTEUR GENERAL,MINISTERE DU TRANSPORT,CHANGEMENT DE FONCTION 
BOUZAYENE,Slaheddine,2-avr.-2011,DIRECTEUR,MINISTERE DU TRANSPORT,RENOUVELLEMENT -5 ANS-
BOUZAYENE,Slaheddine,25-mars-2004,DIRECTEUR,MINISTERE DES TECHNOLOGIES DE LA COMMUNICATION ET DU TRANSPORT,RENOUVELLEMENT -5 ANS-
BOUZAYENE,Slaheddine,11-févr.-1993,DIRECTEUR DE CONTROLE DE GESTION,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
BOUZAYENE,ANIS,27-mai-2015,MAGISTRAT,PRESIDENCE DU GOUVERNEMENT,PREMIERE DECLARATION
BOUZAYENNE,Mohamed,7-déc.-2005,COMPTABLE PUBLIC,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUZAYENNE,Mohamed,17-oct.-1998,COMPTABLE PUBLIC,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUZAYENNE,Mohamed,9-mars-1993,COMPTABLE PUBLIC,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZEGHENDA,Adel,11-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZEIDI,Abdellaziz,8-juil.-1987,DIRECTEUR PAR INTERIM,MINISTERE DE L'AGRICULTURE,PREMIERE DECLARATION
BOUZEIDI,Leila,8-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
BOUZEIDI,AFIFA,14-avr.-2004,DIRECTEUR,MINISTERE DES DOMAINES DE L'ETAT ET DES AFFAIRES FONCIERES,PREMIERE DECLARATION
BOUZEINE,HASSEN,18-sept.-1997,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUZEKRI,AHMED,21-avr.-2004,DIRECTEUR,MINISTERE DES DOMAINES DE L'ETAT ET DES AFFAIRES FONCIERES,PREMIERE DECLARATION
BOUZEKRI,TAHAR,15-mai-2012,COMPTABLE,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZERIBA,Habib,9-juil.-1987,COMPTABLE PUBLIC,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZERRAA,Sami,20-janv.-2000,INSPECTEUR DE FINANCES,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZGAROU,Moncef,9-juil.-1987,PRESIDENT DIRECTEUR GENERAL,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUZGARROU,Mohamed,2-oct.-1993,RESPONSABLE,MINISTERE DE L'EDUCATION ET DES SCIENCES,PREMIERE DECLARATION
BOUZGARROU,AZZA,2-févr.-2012,DIRECTEUR,MINISTERE DE LA FORMATION PROFESSIONNELLE ET DE  L'EMPLOI,RENOUVELLEMENT -5 ANS-
BOUZGARROU,AZZA,19-nov.-2005,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUZGHIBA,Habib,7-sept.-2007,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
BOUZGHIBA,Habib,5-mai-1995,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUZGHONDA,Sahbi,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZGUENDA,ABDESSATAR,28-oct.-2014,DIRECTEUR,MINISTERE DU TRANSPORT,RENOUVELLEMENT -5 ANS-
BOUZGUENDA,ABDESSATAR,2-juin-2006,DIRECTEUR,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
BOUZID,Salah Eddine,3-juil.-1987,CHEF DE CENTRE DE CONTROLE DES IMPOTS,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZID,Mohamed,7-juil.-1987,DIRECTEUR,MINISTERE DE LA FONCTION PUBLIQUE ET DE LA REFORME ADMINISTRATIVE,PREMIERE DECLARATION
BOUZID,Hassine,16-janv.-1995,SECRETAIRE GENERAL,MINISTERE DES AFFAIRES ETRANGERES,PREMIERE DECLARATION
BOUZID,Hassine,18-janv.-1990,EX-PRESIDENT DIRECTEURS GENERAL,MINISTERE DE LA SANTE PUBLIQUE,CHANGEMENT DE FONCTION 
BOUZID,Hassine,23-févr.-1989,CHARGE DE MISSION,MINISTERE DE L'INDUSTRIEET DU COMMERCE,CHANGEMENT DE FONCTION 
BOUZID,Hassine,7-juil.-1987,DIRECTEUR GENERAL,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUZID,Aicha,7-juil.-1987,DIRECTEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZID,Mohamed Hedi,8-avr.-1993,DIRECTEUR FINANCIER,MINISTERE DE L'ECONOMIE NATIONALE,RENOUVELLEMENT -5 ANS-
BOUZID,Mohamed Hedi,9-juil.-1987,DIRECTEUR,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUZID,Mohsen,8-juin-1993,MAGISTRAT,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
BOUZID,Mohsen,24-sept.-1990,AGENT,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZID,Mohsen,9-juil.-1987,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUZID,Mohamed Naceur,1-juin-1999,CONTROLEUR DES IMPOTS,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
BOUZID,Mohamed Naceur,9-juil.-1987,AGENT DE CONSTATATION,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZID,Jellel,27-août-1987,COMPTABLE PUBLIC,MINISTERE DE LA PRODUCTION AGRICOLE ET DES INDUSTRIES AGRO-ALIMENTAIRES,PREMIERE DECLARATION
BOUZID,Mohamed,22-févr.-1988,CONTROLEUR DES AFFAIRES ECONOMIQUES,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUZID,Hamed,4-juil.-1988,SECRETAIRE GENERAL,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUZID,Adel,24-sept.-1990,AGENT,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZID,Abdallah,5-mai-1997,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUZID,AZOUZ,1-juin-2007,RECEVEUR,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZID,HAJER,3-nov.-2016,DEPUTE,ASSEMBLEE DES REPRESENTANTS DU PEUPLE,PREMIERE DECLARATION
BOUZIDI,IBrahim,24-juin-1987,DIRECTEUR,MINISTERE DE L'INDUSTRIEET DU COMMERCE,PREMIERE DECLARATION
BOUZIDI,Boubaker,2-août-1993,MAGISTRAT,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
BOUZIDI,Boubaker,9-juil.-1987,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUZIDI,Mohamed Hedi,9-juil.-1987,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
BOUZIDI,Hamma,9-juil.-1987,BRUGADIER,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZIDI,Salah,9-juil.-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZIDI,Tarek,9-juil.-1987,ATTACHE D'INPECTION,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZIDI,Mohamed Monsef,23-juin-2000,DIRECTEUR,MINISTERE DE L'EDUCATION,OBJET NON PREVU DANS LA TABLE
BOUZIDI,Mohamed Monsef,16-oct.-1997,DIRECTEUR,MINISTERE DE L'EDUCATION,CHANGEMENT D'ADMINISTRATION
BOUZIDI,Mohamed Monsef,26-nov.-1994,DIRECTEUR,MINISTERE DE L'EDUCATION,CHANGEMENT D'ADMINISTRATION
BOUZIDI,Mohamed Monsef,13-avr.-1993,DIRECTEUR,MINISTERE DE L'EDUCATION ET DES SCIENCES,RENOUVELLEMENT -5 ANS-
BOUZIDI,Mohamed Monsef,9-juil.-1987,DIRECTEUR,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
BOUZIDI,Mustapha,10-juil.-1987,DIRECTEUR COORDINATEUR,MINISTERE DE LA PRODUCTION AGRICOLE ET DES INDUSTRIES AGRO-ALIMENTAIRES,PREMIERE DECLARATION
BOUZIDI,Ali,10-juil.-1987,DIRECTEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZIDI,Moktar,16-juil.-1987,CHEF DE SECTION,INCONNU,PREMIERE DECLARATION
BOUZIDI,Hammadi,17-août-1987,AGENT,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZIDI,Sadok,8-juil.-1987,CHARGE DE MISSION,"MINISTERE DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA RECHERCHE SCIENTIFIQUE",PREMIERE DECLARATION
BOUZIDI,Ahmed,4-févr.-1988,GESTIONNAIRE,MINISTERE DE LA PRODUCTION AGRICOLE ET DES INDUSTRIES AGRO-ALIMENTAIRES,PREMIERE DECLARATION
BOUZIDI,Hedi,6-oct.-1988,COMPTABLE PUBLIC,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZIDI,Nour Eddine,12-mars-1993,CONTROLEUR  DE GESTION,MINISTERE DU TRANSPORT,PREMIERE DECLARATION
BOUZIDI,Nejib,31-déc.-2012,INSPECTEUR SERVICES FINANCIERS,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
BOUZIDI,Nejib,19-juin-1999,INSPECTEUR DES SERVICES FINANCIERS,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZIDI,Mohamed lakani,20-janv.-2000,INSPECTEUR DES SERVICES FINANCIERS,MINISTERE DES FINANCES,PREMIERE DECLARATION
BOUZIDI,SOUHAIL,2-déc.-2010,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
BOUZIDI,SAID,25-févr.-2012,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
BOUZIGHA,Ahmed,8-juil.-1987,INGENIEUR,MINISTERE DE L'AGRICULTURE,PREMIERE DECLARATION
BOUZIIRI,Mohamed Laroussi,9-juil.-1987,DIRECTEUR,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZIR,Hedi,13-mars-1993,COMPTABLE PUBLIC,MINISTERE DES FINANCES,RENOUVELLEMENT -5 ANS-
BOUZIR,Hedi,20-août-1987,COMPTABLE PUBLIC,MINISTERE DU PLAN ET DES FINANCES,PREMIERE DECLARATION
BOUZIR,Abdelhak,5-sept.-2000,DIRECTEUR REGIONAL,MINISTERE DE L'EQUIPEMENT ET DE L'HABITAT,RENOUVELLEMENT -5 ANS-
BOUZIR,Abdelhak,4-avr.-1994,DIRECTEUR REGIONAL,MINISTERE DE L'EQUIPEMENT ET DE L'HABITAT,RENOUVELLEMENT -5 ANS-
BOUZIR,Abdelhak,17-nov.-1989,DIRECTEUR REGIONAL,MINISTERE DE L'EQUIPEMENT ET DE L'HABITAT,PREMIERE DECLARATION
BOUZIRI,Jamel abdenasser,27-oct.-2010,SECRETAIRE GENERAL,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,RENOUVELLEMENT -5 ANS-
BOUZIRI,Jamel abdenasser,7-mars-2001,DIRECTEUR,MINISTERE DE LA JEUNESSE ET DE L'ENFANCE ET DES SPORTS,PREMIERE DECLARATION
